cluster_id,auto_label,last_log_count,forecast_log_count,predicted_growth,last_date
863,"nox, method, reduction, nox reduction, combustion",0.0,0.622,0.622,2025-10-01
617,"phase, detector, phase detector, circuit, method",0.0,0.621,0.621,2025-10-01
1404,"animation, user, method, graphics, interface",0.0,0.616,0.616,2025-10-01
1971,"panoramic, image, panoramic image, method, images",0.0,0.615,0.615,2025-10-01
881,"packet, method, network, packets, data",0.0,0.614,0.614,2025-10-01
1301,"nitric oxide, nitric, oxide, releasing, oxide releasing",0.0,0.607,0.607,2025-10-01
196,"medication, container, method, dispensing, pill",0.0,0.603,0.603,2025-10-01
1112,"floor, flooring, method, modular, floor tile",0.0,0.599,0.599,2025-10-01
866,"heat, heat sink, sink, assembly, sink assembly",0.0,0.599,0.599,2025-10-01
2182,"point, point cloud, cloud, method, 3d",0.0,0.589,0.589,2025-10-01
1787,"mobile, security, device, secure, mobile device",0.0,0.581,0.581,2025-10-01
1559,"suture, method, sutures, suturing, barbed",0.0,0.576,0.576,2025-10-01
814,"kinase, protein, human, protein kinase, proteins",0.0,0.574,0.574,2025-10-01
985,"compression, engine, ignition, compression ignition, combustion",0.0,0.571,0.571,2025-10-01
1926,"arc, detection, electrical, arc detection, device",0.0,0.57,0.57,2025-10-01
1109,"simulation, method, model, program, simulating",0.0,0.566,0.566,2025-10-01
483,"internal, internal combustion, combustion, engine, combustion engine",0.0,0.566,0.566,2025-10-01
1500,"brake, hydraulic, hydraulic brake, vehicle, pressure",0.0,0.564,0.564,2025-10-01
2050,"air, conditioning, air conditioning, method, vehicle",1.386,1.937,0.551,2025-10-01
1239,"color, display, color display, device, display device",0.0,0.549,0.549,2025-10-01
1864,"flow, redox, redox flow, battery, flow battery",0.0,0.549,0.549,2025-10-01
2128,"corrosion, method, detection, monitoring, corrosion detection",0.0,0.548,0.548,2025-10-01
1022,"knee, prosthesis, knee prosthesis, joint, knee joint",0.0,0.541,0.541,2025-10-01
2006,"weather, method, data, methods, systems",0.0,0.54,0.54,2025-10-01
1619,"posture, method, therapy, apparatus, patient",0.0,0.531,0.531,2025-10-01
1823,"ink, recording, inkjet, inkjet recording, method",0.0,0.528,0.528,2025-10-01
2288,"engagement, user, user engagement, method, determining",0.0,0.526,0.526,2025-10-01
1232,"obesity, treating, treating obesity, treatment, methods",0.0,0.525,0.525,2025-10-01
1268,"compounds, organic, organic compounds, compounds organic, use",0.0,0.525,0.525,2025-10-01
111,"phase, mask, shift, phase shift, shift mask",0.0,0.525,0.525,2025-10-01
817,"mram, method, device, mram device, configuration",1.099,1.623,0.524,2025-10-01
53,"guidewire, core, wire, guidewire guidewire, guidewires",0.0,0.522,0.522,2025-10-01
2034,"device, assist, ventricular, ventricular assist, heart",0.0,0.517,0.517,2025-10-01
1954,"fibrous, structures, material, fibrous structures, fibrous material",0.0,0.515,0.515,2025-10-01
1612,"metamaterial, antenna, structures, electromagnetic, metamaterials",0.0,0.509,0.509,2025-10-01
1833,"shaft, seal, sealing, shaft seal, rotary",0.0,0.509,0.509,2025-10-01
183,"spring, leaf, leaf spring, method, having",0.0,0.507,0.507,2025-10-01
1941,"amoled, pixel, driving, displays, amoled displays",0.0,0.506,0.506,2025-10-01
1100,"liquid, liquid crystal, crystal, liquid crystalline, crystalline",0.0,0.504,0.504,2025-10-01
1650,"heat, pipe, heat pipe, method, loop",0.0,0.503,0.503,2025-10-01
2360,"vacuum, refrigerator, vacuum adiabatic, adiabatic, adiabatic body",1.386,1.887,0.501,2025-10-01
1713,"laser, probe, laser probe, steerable, steerable laser",0.0,0.496,0.496,2025-10-01
890,"reticle, method, reticles, methods, reticle reticle",0.0,0.493,0.493,2025-10-01
1166,"traffic, method, network, management, measurement",0.0,0.493,0.493,2025-10-01
1544,"cup, holder, cup holder, assembly, holder cup",0.0,0.493,0.493,2025-10-01
1932,"slurry, method, methods, slurries, systems",0.0,0.492,0.492,2025-10-01
191,"filter, wave, acoustic wave, acoustic, surface",0.0,0.491,0.491,2025-10-01
60,"marking, marker, method, pavement, field",0.0,0.489,0.489,2025-10-01
1607,"closed, captioning, closed captioning, method, caption",0.0,0.489,0.489,2025-10-01
1730,"leash, harness, pet, retractable, animal",0.0,0.488,0.488,2025-10-01
1029,"class, amplifier, class amplifier, method, amplifier class",0.0,0.486,0.486,2025-10-01
1659,"pelvic, methods, method, prolapse, treating",0.0,0.484,0.484,2025-10-01
930,"direct, direct conversion, conversion, receiver, offset",0.0,0.484,0.484,2025-10-01
2214,"cleaner, cleaner cleaner, uses cleaner, uses, pruner",0.0,0.482,0.482,2025-10-01
1146,"error, method, handling, apparatus, exception",0.0,0.482,0.482,2025-10-01
1843,"food, cutting, slicing, slicer, apparatus",0.0,0.479,0.479,2025-10-01
1927,"power, inductive, inductive power, transfer, power transfer",0.0,0.479,0.479,2025-10-01
1669,"semiconductor, oxide, oxide semiconductor, semiconductor device, device",0.0,0.477,0.477,2025-10-01
2062,"distillation, method, apparatus, distillation apparatus, liquid",0.0,0.475,0.475,2025-10-01
2314,"process, robotic, automation, process automation, robotic process",1.609,2.082,0.473,2025-10-01
2232,"incident, management, response, incident response, systems",1.386,1.859,0.473,2025-10-01
1914,"evacuation, apparatus, emergency, device, notification",0.0,0.468,0.468,2025-10-01
1150,"dma, method, controller, dma controller, data",0.0,0.468,0.468,2025-10-01
1863,"light, light emitting, emitting, element, emitting element",0.0,0.468,0.468,2025-10-01
2131,"treadmill, treadmill treadmill, treadmill low, low, belt",0.0,0.465,0.465,2025-10-01
2044,"biofilm, method, biofilms, methods, treatment",0.0,0.465,0.465,2025-10-01
921,"film, optical, film optical, light, antireflection film",0.0,0.464,0.464,2025-10-01
1547,"menu, method, menus, user, device",0.0,0.464,0.464,2025-10-01
1438,"memory, error, correction, detection, method",0.0,0.461,0.461,2025-10-01
259,"golf, club, golf club, method, head",0.0,0.46,0.46,2025-10-01
1142,"pain, treating, treating pain, useful treating, therapeutic agents",0.0,0.459,0.459,2025-10-01
1682,"vehicle, electric, control, electric vehicle, method",0.0,0.455,0.455,2025-10-01
87,"matrix, display, liquid crystal, liquid, crystal",0.0,0.455,0.455,2025-10-01
567,"hydrogel, hydrogels, hydrogel forming, methods, compositions",0.0,0.454,0.454,2025-10-01
973,"cartridge, process, image, apparatus, forming",0.0,0.454,0.454,2025-10-01
740,"oxygen, method, apparatus, concentrator, oxygen concentrator",0.0,0.453,0.453,2025-10-01
2074,"dengue, virus, dengue virus, methods, vaccine",0.0,0.451,0.451,2025-10-01
1996,"wave, elastic, elastic wave, device, wave device",0.0,0.451,0.451,2025-10-01
2173,"policy, method, control, management, policy control",0.0,0.451,0.451,2025-10-01
2001,"gimbal, gimbal assembly, device, gimbal gimbal, assembly",0.0,0.45,0.45,2025-10-01
1920,"tube, led, led tube, lamp, tube lamp",0.0,0.449,0.449,2025-10-01
990,"power, method, consumption, state, power consumption",0.0,0.449,0.449,2025-10-01
316,"workpiece, apparatus, method, workpieces, processing",0.0,0.449,0.449,2025-10-01
550,"lithium, battery, secondary, electrode, material",2.639,3.087,0.448,2025-10-01
1159,"derivatives, substituted, piperidine, antagonists, piperazine",0.0,0.447,0.447,2025-10-01
1256,"performance, method, software, computer, measuring",0.0,0.445,0.445,2025-10-01
2326,"drilling, fluid, drilling fluid, based, based drilling",0.0,0.444,0.444,2025-10-01
1323,"ring, method, tone, ring tone, tones",0.0,0.442,0.442,2025-10-01
1965,"profile, user, method, user profile, information",0.0,0.442,0.442,2025-10-01
2016,"iris, method, recognition, iris recognition, image",0.0,0.442,0.442,2025-10-01
1175,"transfer, sheet, image, thermal, thermal transfer",0.0,0.442,0.442,2025-10-01
2055,"display, medium, method, control, device",0.0,0.442,0.442,2025-10-01
2393,"server, method, control, server method, method server",1.099,1.539,0.441,2025-10-01
1902,"egg, method, eggs, device, methods",0.0,0.438,0.438,2025-10-01
2244,"powder, manufacturing, additive, additive manufacturing, method",0.0,0.436,0.436,2025-10-01
55,"trap, bait, insect, rodent, insect trap",0.0,0.434,0.434,2025-10-01
1676,"transistor, method, manufacturing, method manufacturing, manufacturing transistor",0.0,0.434,0.434,2025-10-01
1931,"flow, thermal, sensor, thermal flow, meter",0.0,0.434,0.434,2025-10-01
1527,"guide, program, program guide, electronic, method",0.0,0.432,0.432,2025-10-01
2121,"pulmonary, methods, treating, lung, methods treating",0.0,0.431,0.431,2025-10-01
1696,"method, producing, glycosylated, galactosidase, proteins",0.0,0.43,0.43,2025-10-01
811,"thermoplastic, thermoplastic resin, resin, resin composition, composition",0.0,0.43,0.43,2025-10-01
1702,"solid state, solid, state, drive, state drive",0.0,0.428,0.428,2025-10-01
876,"gene, genes, expression, methods, use",0.0,0.425,0.425,2025-10-01
903,"train, method, control, controlling, drive",0.0,0.422,0.422,2025-10-01
40,"bar, code, bar code, method, scanning",2.303,2.724,0.422,2025-10-01
2209,"motion, vector, motion vector, method, prediction",0.0,0.421,0.421,2025-10-01
901,"nucleic, polypeptides, nucleic acids, acids, encoding",0.0,0.42,0.42,2025-10-01
1506,"armor, ballistic, shield, ballistic shield, lightweight",0.0,0.42,0.42,2025-10-01
830,"micromirror, actuator, micromirror actuator, method, device",0.0,0.42,0.42,2025-10-01
1126,"cell, fuel, fuel cell, stack, cell stack",0.0,0.419,0.419,2025-10-01
964,"encoder, optical, optical encoder, encoder optical, using fiber",0.0,0.418,0.418,2025-10-01
1272,"expansion, card, device, apparatus, mounting",0.0,0.418,0.418,2025-10-01
1299,"granular, material, apparatus, method, powder",0.0,0.417,0.417,2025-10-01
156,"connector, shielded, electrical, shield, electrical connector",0.0,0.417,0.417,2025-10-01
1504,"layout, method, layouts, based, software",0.0,0.417,0.417,2025-10-01
1595,"diversity, method, wireless, transmit, transmit diversity",0.0,0.417,0.417,2025-10-01
2040,"wheeled, vehicle, scooter, wheeled vehicle, electric",0.0,0.417,0.417,2025-10-01
437,"electro, device, optical, electro optical, optical device",0.0,0.415,0.415,2025-10-01
1602,"liquid crystal, crystal, liquid, lens, crystal lens",0.0,0.415,0.415,2025-10-01
1899,"cigarette, electronic cigarette, electronic, atomizer, assembly",0.0,0.412,0.412,2025-10-01
2011,"resistor, method, manufacturing, chip, element",0.0,0.412,0.412,2025-10-01
2071,"peptides, use, cancers, combination peptides, peptides combination",1.386,1.795,0.409,2025-10-01
1085,"motion, method, apparatus, video, method apparatus",0.0,0.409,0.409,2025-10-01
1039,"portable, electronic, device, portable electronic, computer",0.693,1.101,0.407,2025-10-01
1471,"identity, verification, identity verification, method, management",0.0,0.406,0.406,2025-10-01
553,"flip, flop, flip flop, circuit, flop circuit",0.693,1.099,0.406,2025-10-01
320,"cutting, tool, cutting tool, machine, insert",3.761,4.166,0.405,2025-10-01
2159,"cutting, insert, tool, cutting insert, cutting tool",0.0,0.404,0.404,2025-10-01
1382,"screw, method, self, device, screw screw",0.0,0.404,0.404,2025-10-01
1342,"method, tag, tags, tagging, information",0.0,0.403,0.403,2025-10-01
915,"data, streams, stream, method, data streams",2.833,3.235,0.402,2025-10-01
1587,"sulfur, method, gas, sulfide, removal",0.0,0.402,0.402,2025-10-01
1452,"apparatus, image forming, image, forming, forming apparatus",0.0,0.401,0.401,2025-10-01
1470,"security, systems, method, computer, methods",0.0,0.401,0.401,2025-10-01
2247,"shoulder, glenoid, component, shoulder prosthesis, prosthesis",0.0,0.4,0.4,2025-10-01
2204,"method, narrative, story, text, media",0.0,0.4,0.4,2025-10-01
1495,"mobile, device, device mobile, mobile electronic, electronic",0.0,0.398,0.398,2025-10-01
1724,"printing, dimensional, method, flexographic, apparatus",0.0,0.398,0.398,2025-10-01
2291,"antenna, structure, antenna structure, structure antenna, structural",0.0,0.397,0.397,2025-10-01
171,"semiconductor, manufacturing, device, semiconductor device, method",0.0,0.395,0.395,2025-10-01
1430,"method, coupon, coupons, reward, program",0.0,0.395,0.395,2025-10-01
1664,"prosthesis, prosthetic, methods, prosthesis prosthesis, method",0.0,0.395,0.395,2025-10-01
495,"fuel, pump, fuel pump, pump fuel, injection",0.0,0.395,0.395,2025-10-01
993,"pulse, width, pulse width, modulation, method",0.0,0.395,0.395,2025-10-01
841,"plate, apparatus, method, plates, apparatus method",0.0,0.395,0.395,2025-10-01
1672,"current, sensor, current sensor, sensor current, method",0.0,0.393,0.393,2025-10-01
1697,"virtual, virtual machines, machines, method, security",0.0,0.391,0.391,2025-10-01
429,"granular, method, process, apparatus, material",0.0,0.388,0.388,2025-10-01
2194,"sentiment, method, analysis, sentiment analysis, data",0.0,0.388,0.388,2025-10-01
2045,"refrigerator, door, refrigerator door, door refrigerator, method",0.0,0.388,0.388,2025-10-01
1565,"secure, method, transactions, electronic, transaction",0.0,0.388,0.388,2025-10-01
1948,"travel, vehicle, control, travel control, vehicle travel",0.0,0.388,0.388,2025-10-01
2,"lighter, safety, resistant, gas lighter, gas",0.0,0.388,0.388,2025-10-01
1967,"tau, methods, antibodies, taurine, process",0.0,0.385,0.385,2025-10-01
2336,"capacitor, capacitor capacitor, component, capacitor component, module",0.0,0.385,0.385,2025-10-01
1297,"wiring, board, wiring board, method, manufacturing",0.0,0.384,0.384,2025-10-01
1261,"ad, hoc, ad hoc, network, hoc network",0.0,0.384,0.384,2025-10-01
1352,"therapeutic, compounds, therapeutic compounds, compounds therapeutic, use",0.0,0.384,0.384,2025-10-01
180,"tree, stand, tree stand, christmas tree, christmas",0.0,0.383,0.383,2025-10-01
1896,"tonneau, tonneau cover, cover, clamp, trunk",0.0,0.382,0.382,2025-10-01
2101,"vaping, device, vaping device, electronic, electronic vaping",0.0,0.381,0.381,2025-10-01
1012,"belt, image, apparatus, image forming, forming",0.0,0.381,0.381,2025-10-01
1767,"tunneling, field effect, effect, field, transistor",0.0,0.381,0.381,2025-10-01
1405,"particulate, particulate matter, matter, sensor, matter sensor",0.0,0.38,0.38,2025-10-01
501,"porous, method, producing, material, method producing",0.0,0.379,0.379,2025-10-01
801,"gate, dielectric, method, high, gate dielectric",0.0,0.379,0.379,2025-10-01
394,"imaging, method, apparatus, use, imaging device",2.833,3.211,0.378,2025-10-01
1287,"luminescent, luminescent material, material, material luminescent, particles",0.0,0.378,0.378,2025-10-01
69,"vitamin, derivatives, process, vitamin derivatives, method",0.0,0.377,0.377,2025-10-01
1064,"filtration, method, device, water, filtration device",2.398,2.775,0.377,2025-10-01
1906,"circuit, goa, display, goa circuit, device",0.0,0.377,0.377,2025-10-01
980,"photonic, crystal, photonic crystal, dimensional, optical",0.0,0.375,0.375,2025-10-01
848,"tool, machine, machine tool, tool machine, dicing machine",0.0,0.375,0.375,2025-10-01
1746,"m2m, method, device, bearer, communication",0.0,0.374,0.374,2025-10-01
913,"air, cleaning, cleaner, air cleaner, apparatus",0.0,0.374,0.374,2025-10-01
874,"document, method, apparatus, processing, method apparatus",0.0,0.374,0.374,2025-10-01
2066,"resonator, filter, tunable, frequency, band",0.0,0.373,0.373,2025-10-01
514,"nox, method, exhaust, gas, catalyst",0.0,0.372,0.372,2025-10-01
741,"frozen, method, product, process, ice",0.0,0.372,0.372,2025-10-01
1922,"dimming, dimmer, control, dimming control, power",0.0,0.372,0.372,2025-10-01
2096,"spin, element, magnetic, torque, spin orbit",0.0,0.37,0.37,2025-10-01
1274,"liquid, head, discharge, liquid discharge, discharge head",0.0,0.369,0.369,2025-10-01
1707,"compounds, heterocyclic, heterocyclic compounds, uses, compounds uses",0.0,0.369,0.369,2025-10-01
545,"electrode, process, electrodes, electrodeionization, metal",0.0,0.366,0.366,2025-10-01
1973,"memristor, memristive, method, memristors, using",0.0,0.366,0.366,2025-10-01
1361,"lettuce, line, lettuce line, cultivar, lettuce cultivar",0.0,0.365,0.365,2025-10-01
1463,"content, privacy, protection, apparatus, systems",0.0,0.365,0.365,2025-10-01
992,"intrusion, detection, intrusion detection, method, network",0.0,0.365,0.365,2025-10-01
121,"resist, composition, resist composition, positive, positive resist",0.0,0.365,0.365,2025-10-01
1623,"touch, panel, method, touch panel, manufacturing",0.0,0.365,0.365,2025-10-01
633,"polysilicon, method, film, transistor, method forming",0.0,0.365,0.365,2025-10-01
2002,"winch, winch winch, method, vehicle, device",0.0,0.364,0.364,2025-10-01
158,"connector, electrical, electrical connector, locking, latch",0.0,0.364,0.364,2025-10-01
1990,"laser, welding, laser welding, method, method laser",0.0,0.364,0.364,2025-10-01
2251,"hydrant, hydration, device, method, hydrate",0.0,0.364,0.364,2025-10-01
356,"sensor, angular, method, rotational, rotation",0.0,0.364,0.364,2025-10-01
1060,"deposition, layer, method, layer deposition, atomic layer",0.0,0.363,0.363,2025-10-01
1328,"retractor, surgical, surgical retractor, wound retractor, method",0.0,0.362,0.362,2025-10-01
1680,"power, method, control, energy, methods",0.0,0.361,0.361,2025-10-01
74,"memory, ferroelectric, ferroelectric memory, method, memory device",2.773,3.132,0.36,2025-10-01
1849,"delivery, nanoparticles, nanoparticle, cancer, targeted",0.0,0.36,0.36,2025-10-01
1900,"motor, vibration, vibration motor, motor vibration, linear",0.0,0.359,0.359,2025-10-01
2032,"vital, method, signs, vital signs, sign",0.0,0.359,0.359,2025-10-01
1855,"tools, earth boring, boring, earth, boring tools",0.0,0.359,0.359,2025-10-01
1122,"apparatus, image, image forming, forming, charging",0.0,0.358,0.358,2025-10-01
1056,"capacitor, method, capacitor method, forming, structure",3.258,3.616,0.358,2025-10-01
2171,"subterranean, formation, subterranean formation, treatment, subterranean formations",0.0,0.357,0.357,2025-10-01
1020,"lead, medical, implantable, electrical, electrical lead",0.0,0.357,0.357,2025-10-01
130,"spark, plug, spark plug, method, plug spark",1.099,1.455,0.357,2025-10-01
202,"book, holder, device, bookbinding, cover",0.0,0.357,0.357,2025-10-01
1160,"memory, resistance, device, resistive, memory device",0.0,0.357,0.357,2025-10-01
1698,"network, virtual, virtual network, method, interface",0.0,0.357,0.357,2025-10-01
174,"friction, method, material, wear, member",0.0,0.355,0.355,2025-10-01
1330,"test, apparatus, method, test apparatus, apparatus test",0.0,0.354,0.354,2025-10-01
1125,"fuel, fuel cell, cell, separator, method",0.0,0.354,0.354,2025-10-01
835,"duct, method, assembly, apparatus, ducts",0.0,0.354,0.354,2025-10-01
2277,"promotion, promotions, method, providing, based",0.0,0.353,0.353,2025-10-01
1207,"shake, apparatus, device, image, method",0.0,0.353,0.353,2025-10-01
1275,"jetting, liquid, droplet, apparatus, droplet jetting",0.0,0.353,0.353,2025-10-01
928,"security, method, apparatus, method apparatus, security method",3.135,3.488,0.352,2025-10-01
1320,"blower, blower blower, systems, motor, blower motor",2.303,2.654,0.352,2025-10-01
1808,"tape, data, storage, method, tape drive",0.0,0.35,0.35,2025-10-01
865,"microelectronic, methods, package, assemblies, microelectronic device",0.0,0.35,0.35,2025-10-01
2021,"device, vehicle, occupant, protection, protection device",0.0,0.35,0.35,2025-10-01
2148,"geared, engine, turbine, turbine engine, gas turbine",0.0,0.35,0.35,2025-10-01
2126,"surface, treatment, method, surface treatment, surface modified",0.0,0.35,0.35,2025-10-01
1781,"il, antibodies, anti, binding, receptor",0.0,0.349,0.349,2025-10-01
1398,"state, solid state, solid, lighting, state lighting",0.0,0.348,0.348,2025-10-01
1674,"condenser, condensation, liquid, method, air",0.0,0.347,0.347,2025-10-01
780,"fault, method, detection, apparatus, circuit",2.398,2.744,0.346,2025-10-01
2022,"sprocket, bicycle, bicycle sprocket, assembly, sprocket assembly",0.0,0.346,0.346,2025-10-01
1113,"wall, panel, method, structure, forming",3.178,3.522,0.344,2025-10-01
1046,"surveillance, method, electronic, surveillance method, electronic article",0.0,0.344,0.344,2025-10-01
663,"angiogenesis, method, methods, inhibitors, inhibitor",0.0,0.343,0.343,2025-10-01
1059,"card, reader, card reader, ic, ic card",3.296,3.639,0.343,2025-10-01
1264,"network, method, analysis, network analysis, determination",0.0,0.343,0.343,2025-10-01
1903,"ultrasonic, surgical, ultrasonic surgical, instrument, surgical instrument",0.0,0.342,0.342,2025-10-01
1205,"power, ethernet, power ethernet, method, classification",0.0,0.341,0.341,2025-10-01
1897,"controller, game, game controller, controller game, flexible bridge",0.0,0.34,0.34,2025-10-01
1790,"method, tunnel, network, ipv6, apparatus",0.0,0.34,0.34,2025-10-01
1136,"method, sales, support, sales support, selling",0.0,0.339,0.339,2025-10-01
789,"thickness, method, film, apparatus, measuring",0.0,0.339,0.339,2025-10-01
1653,"plasma, etching, plasma etching, method, etching method",0.0,0.338,0.338,2025-10-01
1417,"vehicle, information, method, providing, data",0.0,0.338,0.338,2025-10-01
103,"material, photothermographic, photographic, photothermographic material, element",0.0,0.337,0.337,2025-10-01
1222,"cutting, tool, cutting tool, coated, coated cutting",0.0,0.336,0.336,2025-10-01
1335,"service, denial service, denial, attacks, service attacks",0.0,0.336,0.336,2025-10-01
1162,"web, service, services, web services, method",0.0,0.336,0.336,2025-10-01
1848,"display, curved, curved display, device, apparatus",0.0,0.334,0.334,2025-10-01
1098,"drying, method, apparatus, method drying, drying apparatus",2.833,3.167,0.334,2025-10-01
1756,"vapor, fuel, method, fuel vapor, device",0.0,0.333,0.333,2025-10-01
1249,"botulinum, toxin, botulinum toxin, clostridial, neurotoxins",0.0,0.332,0.332,2025-10-01
393,"mixer, low, range, mixer low, frequency",0.0,0.331,0.331,2025-10-01
516,"muffler, exhaust, exhaust muffler, process, muffler muffler",0.0,0.331,0.331,2025-10-01
647,"composition, supplement, nutritional, methods, method",0.0,0.331,0.331,2025-10-01
1884,"power, supply, power supply, device, supply device",0.0,0.33,0.33,2025-10-01
1111,"stroller, foldable, baby, stroller stroller, collapsible",1.609,1.939,0.33,2025-10-01
