subfield_id,subfield,field,domain,works_count,description
3307,Human Factors and Ergonomics,Social Sciences,Social Sciences,181179,study of designing equipment and devices that fit the human body and its cognitive abilities
1502,Bioengineering,Chemical Engineering,Physical Sciences,176266,application of biology and engineering to create useful products
3302,Archeology,Social Sciences,Social Sciences,174324,study of the past via material culture
2607,Discrete Mathematics and Combinatorics,Mathematics,Physical Sciences,170033,study of discrete mathematical structures
2102,Energy Engineering and Power Technology,Energy,Physical Sciences,169381,broad field of engineering dealing with energy
2910,"Issues, ethics and legal aspects",Nursing,Health Sciences,165249,"branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct"
2724,Internal Medicine,Medicine,Health Sciences,163163,"medical specialty dealing with the prevention, diagnosis, and treatment of  diseases of internal organs"
1603,Electrochemistry,Chemistry,Physical Sciences,160409,branch of chemistry
2806,Developmental Neuroscience,Neuroscience,Life Sciences,156015,scientific study of the nervous system
3005,Toxicology,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,136670,"scientific study of the harmful effects that chemicals, substances, or situations can have on living organisms and the environment"
1403,Business and International Management,"Business, Management and Accounting",Social Sciences,136211,administration of a profit-oriented enterprise
2718,Health Informatics,Medicine,Health Sciences,132333,"discipline at the intersection of information science, computer science, and health care"
3603,Complementary and Manual Therapy,Health Professions,Health Sciences,132175,therapeutic practice not currently considered an integral part of conventional allopathic medical practice
3206,Neuropsychology and Physiological Psychology,Psychology,Social Sciences,130151,study of the brain related to specific psychological processes and behaviors
1410,Industrial relations,"Business, Management and Accounting",Social Sciences,128558,"study of the relationship between employers, employees and others"
2100,General Energy,Energy,Physical Sciences,122127,Czech company
2747,Transplantation,Medicine,Health Sciences,111429,moving of an organ or tissue from one body or body region to another
2802,Behavioral Neuroscience,Neuroscience,Life Sciences,109095,field of scientific study
3607,Medical Laboratory Technology,Health Professions,Health Sciences,108686,equipment and software used in medical laboratories
1912,Space and Planetary Science,Earth and Planetary Sciences,Physical Sciences,107654,science of astronomical objects apparently in orbit around one or more stellar objects within a few light years
1409,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting",Social Sciences,101922,study of the hospitality industry.
1302,Aging,"Biochemistry, Genetics and Molecular Biology",Life Sciences,101275,biological processes in a human body coupled to increasing age
1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,99335,explores the processes by which individual organisms grow and develop (ontogeny)
2402,Applied Microbiology and Biotechnology,Immunology and Microbiology,Life Sciences,91617,study of microscopic organisms
3319,Life-span and Life-course Studies,Social Sciences,Social Sciences,84565,duration of life for an organism
1508,Process Chemistry and Technology,Chemical Engineering,Physical Sciences,81861,arm of pharmaceutical chemistry concerned with the development and optimization of a synthetic scheme and pilot plant procedure to manufacture compounds for the
2714,Family Practice,Medicine,Health Sciences,80921,medical specialty
2200,General Engineering,Engineering,Physical Sciences,72503,applied science
1800,General Decision Sciences,Decision Sciences,Social Sciences,71927,branch of applied probability theory
2506,Metals and Alloys,Materials Science,Physical Sciences,66471,an alloy designation system widely accepted in North America
2803,Biological Psychiatry,Neuroscience,Life Sciences,65534,approach to psychiatry that aims to understand mental disorder in terms of the biological function of the nervous system
3608,Medical Terminology,Health Professions,Health Sciences,64914,"language used in the field of medicine to precisely describe the human body including its components, processes, conditions affecting it, and procedures perform"
3402,Equine,Veterinary,Health Sciences,64590,domesticated four-footed mammal from the equine family
2911,Leadership and Management,Nursing,Health Sciences,59382,academic degree
1506,Filtration and Separation,Chemical Engineering,Physical Sciences,58988,separating components suspended in a fluid based on granularity properties relying on a filter device
2726,Microbiology,Medicine,Health Sciences,58794,study of microscopic organisms
3500,General Dentistry,Dentistry,Health Sciences,57767,branch of medicine dealing with oral health and teeth
1504,Chemical Health and Safety,Chemical Engineering,Physical Sciences,55292,prevention of occupational hazards
2922,Research and Theory,Nursing,Health Sciences,54282,systematic study undertaken to increase knowledge
2103,Fuel Technology,Energy,Physical Sciences,49561,"technology used in the extraction, processing and consumption of fuel resources"
1108,Horticulture,Agricultural and Biological Sciences,Life Sciences,44970,agriculture of plants
3102,Acoustics and Ultrasonics,Physics and Astronomy,Physical Sciences,26289,"science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound"
2605,Computational Mathematics,Mathematics,Physical Sciences,23535,area of mathematics
3002,Drug Discovery,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,14062,the process by which new candidate medications are discovered
2104,Nuclear Energy and Engineering,Energy,Physical Sciences,11811,power generated from nuclear reactions
