cluster_id,x,y,z
200,6.87523,7.936058,5.037422
201,6.8206644,8.0008545,5.044357
202,8.783897,8.320172,4.4838877
203,7.3167496,6.9039,4.3091006
204,6.5756207,7.745985,2.3553596
205,6.5651283,7.7894044,2.4291031
206,6.5540137,7.7957277,2.3808672
209,10.725897,4.553355,3.8568437
210,6.46493,8.588364,4.454023
212,8.66442,6.499437,3.011587
213,9.795103,8.681177,4.528335
214,6.6682014,8.281049,3.1203492
215,6.462781,8.587981,4.503624
216,6.4097385,8.675602,4.386584
217,6.5690618,8.3478985,5.0879493
218,7.1356354,7.512135,1.2124754
219,7.0885215,7.5085573,1.153195
220,7.346659,6.3069453,3.8951297
221,7.2280188,6.3721313,4.024983
222,7.5976305,6.020528,3.721329
223,7.410861,6.317798,4.3793526
224,6.9290147,6.373915,4.596186
225,7.6785135,6.368545,4.448412
227,7.3027916,7.7656198,4.8939795
228,7.4544625,7.5855956,5.1865425
229,7.2233014,8.254895,4.691292
230,7.386692,9.670106,4.936205
231,6.5549912,7.919888,3.7999518
232,7.365933,9.615946,4.99697
233,7.440891,9.554544,4.935616
234,8.992557,9.407538,4.044856
235,9.227542,9.391585,4.0788946
236,9.2323885,9.419609,4.0090513
237,6.963044,8.705579,5.3318496
238,11.217542,8.489403,4.9897623
239,11.242712,8.434823,5.016792
240,6.556228,7.753807,3.8874133
241,6.688987,7.630016,4.2099843
242,6.877807,8.412784,5.09967
243,6.5201755,8.827302,5.103339
244,7.777574,8.479492,2.298083
245,6.919185,7.9189987,5.042392
246,7.2786555,8.228599,5.2695894
247,6.5612183,8.470173,4.708308
248,6.7284837,8.269806,4.845692
249,7.62217,7.1120677,5.4118586
250,6.5800223,8.462199,5.200209
251,7.0413723,7.86416,5.123096
252,7.066848,7.9388275,5.285093
253,6.5006213,8.531483,5.1362295
254,7.6764164,7.2341437,5.7921433
255,6.814592,8.45384,5.1928763
256,6.3090773,8.11508,3.8413851
257,6.320533,8.083293,3.8588922
258,7.6408267,7.311213,5.8189483
259,7.670479,7.2364273,5.827752
260,6.7773333,8.642193,5.278244
261,6.784398,8.740953,5.389582
262,6.6129847,8.361138,5.0869565
263,6.5903935,8.238694,4.9485726
264,7.8762307,6.5635347,4.140321
265,9.045531,6.918449,3.6235406
266,9.544671,8.492745,5.546746
267,11.621982,6.5562387,3.137336
268,8.246141,7.0469522,4.67969
269,10.972005,9.708895,3.839289
270,6.16594,8.204958,4.0409455
271,7.287194,7.2036777,3.7880998
272,6.8390393,7.5022707,3.6040335
273,8.679363,8.690106,4.2404633
274,6.9679866,7.401576,3.6202464
275,7.238556,7.290715,3.776001
276,7.299875,8.534032,3.395909
277,7.2758293,8.571178,3.365717
278,7.282578,8.598758,3.2961643
279,6.8325825,8.658598,3.2866912
280,6.996864,6.9627213,3.9792867
281,7.3743715,6.2935643,3.937147
282,8.726066,5.5132904,2.5988507
283,5.86083,8.032827,3.2531505
284,7.58905,6.230005,3.934532
285,11.16668,9.095486,4.7443743
287,11.309139,9.254864,4.800545
288,7.0431733,9.807854,3.748839
289,7.8787374,6.0918493,3.824584
290,8.146153,6.150121,4.151876
291,8.050698,6.232107,4.2853513
292,10.7328,9.878043,3.518935
293,10.553054,9.819512,3.2937224
294,10.518115,9.812044,3.2621968
295,7.1058197,8.254163,3.3595264
296,9.614703,7.528452,3.6164029
297,6.2851067,9.023184,3.1584914
298,7.986326,6.2201457,2.9052408
300,8.265532,5.2717466,3.5870793
301,7.5833864,7.251017,4.6682577
302,8.319071,7.0360155,4.796814
303,7.199527,6.6558504,4.1811404
304,7.5799246,7.3122516,4.5246606
305,7.602395,7.241059,4.770713
306,7.78089,6.7559566,4.682932
307,8.421971,5.7585015,4.4408827
308,8.0037155,5.4362626,3.6669552
309,8.5243225,5.1716857,3.3866456
310,8.346607,5.6509624,4.16695
311,7.3298416,7.0695763,4.4442754
312,7.558384,7.285366,3.9201436
313,7.8994102,6.4453197,4.543135
314,7.365602,6.1568074,4.450174
315,10.792849,8.191847,4.468877
316,7.6012473,7.405098,3.8309689
317,8.112246,6.8376875,4.832347
318,7.501217,7.4236417,3.7585847
319,7.5115247,7.4861407,3.9867036
320,7.575167,7.543444,3.7825575
321,7.5349603,7.5059,3.8873873
322,7.3018355,6.401331,4.062578
323,8.503577,7.616241,4.376248
324,8.410268,6.3349934,4.7123885
326,7.796299,7.03194,4.8593807
327,8.202906,6.554904,4.73729
328,8.356759,8.532454,3.760435
329,8.193725,6.5916295,4.726171
330,8.724475,7.3400455,3.2471082
331,8.29875,7.2983646,4.337672
332,8.496494,6.691355,3.9692123
333,8.719347,6.5519304,3.8074262
334,8.045938,6.8279204,4.1826367
335,8.562714,6.595892,3.966438
336,6.7172523,7.6922946,4.3603234
337,8.06678,7.1433716,5.0740795
338,7.4488907,6.3507366,3.500905
339,8.098101,6.7347484,5.0104165
